Size[KiB],Cycle,Platform
1,37.278,Coyote
2,61.314,Coyote
4,108.732,Coyote
8,196.9,Coyote
16,400.225,Coyote
32,833.086,Coyote
64,1652.723,Coyote
128,3270.786,Coyote
256,6294.442,Coyote
1,37.243,vFPIO
2,61.342,vFPIO
4,108.715,vFPIO
8,196.888,vFPIO
16,454.082,vFPIO
32,901.037,vFPIO
64,1733.256,vFPIO
128,5009.846,vFPIO
256,6565.573,vFPIO
